Loop #,Edges,Polarity
R1,"A05b -> A06a (1), A06a -> A07a (1), A07a -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A03 (1), A03 -> A05b (1)",Reinforcing
R2,"A05b -> A06a (1), A06a -> A07a (1), A07a -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A04 (1), A04 -> A05b (1)",Reinforcing
R3,"A05b -> A06b (1), A06b -> A07b (1), A07b -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A03 (1), A03 -> A05b (1)",Reinforcing
R4,"A05b -> A06b (1), A06b -> A07b (1), A07b -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A04 (1), A04 -> A05b (1)",Reinforcing
R5,"A13 -> A07a (1), A07a -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A03 (1), A03 -> A13 (1)",Reinforcing
R6,"A13 -> A07a (1), A07a -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A04 (1), A04 -> A13 (1)",Reinforcing
R7,"A13 -> A07b (1), A07b -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A03 (1), A03 -> A13 (1)",Reinforcing
R8,"A13 -> A07b (1), A07b -> A08 (1), A08 -> A10 (1), A10 -> A11 (1), A11 -> A12 (1), A12 -> A04 (1), A04 -> A13 (1)",Reinforcing
R9,"A11 -> A12 (1), A12 -> A03 (1), A03 -> A05a (1), A05a -> A06a (1), A06a -> A07a (1), A07a -> A08 (1), A08 -> A10 (1), A10 -> A11 (1)",Reinforcing
R10,"A11 -> A12 (1), A12 -> A03 (1), A03 -> A05c (1), A05c -> A06b (1), A06b -> A07b (1), A07b -> A08 (1), A08 -> A10 (1), A10 -> A11 (1)",Reinforcing
R11,"A11 -> A12 (1), A12 -> A04 (1), A04 -> A05a (1), A05a -> A06a (1), A06a -> A07a (1), A07a -> A08 (1), A08 -> A10 (1), A10 -> A11 (1)",Reinforcing
R12,"A11 -> A12 (1), A12 -> A04 (1), A04 -> A05c (1), A05c -> A06b (1), A06b -> A07b (1), A07b -> A08 (1), A08 -> A10 (1), A10 -> A11 (1)",Reinforcing
